order_id,customer_name,product,price,quantity,date
1,Ram,Laptop,55000.0,2,2024-11-29
2,m,a,55000.0,3,2024-11-21
3,m,a,55000.0,2,2024-01-14
4,m,a,,3,2024-03-20
5,m,a,500.0,5,2024-02-06
6,m,a,500.0,3,2024-11-16
7,m,a,1500.0,1,2024-06-06
8,m,a,55000.0,4,2024-05-14
9,m,a,,2,2024-02-05
10,m,a,1500.0,5,2024-09-25
11,m,a,1500.0,5,2024-10-13
12,m,a,500.0,3,2024-07-06
13,m,a,55000.0,2,2024-08-08
14,m,a,,4,2024-08-06
15,m,a,1500.0,4,2024-09-28
16,m,a,,3,2024-10-16
17,m,a,,5,2024-07-31
18,m,a,,1,2024-07-12
19,m,a,,5,2024-01-17
20,m,a,,4,2024-09-25
21,m,a,,1,2024-04-18
22,m,a,1500.0,4,2024-10-14
23,m,a,500.0,4,2024-02-21
24,m,a,1500.0,1,2024-01-08
25,m,a,500.0,4,2024-02-24
26,m,a,55000.0,4,2024-08-19
27,m,a,55000.0,1,2024-01-15
28,m,a,1500.0,3,2024-01-17
29,m,a,1500.0,5,2024-12-03
30,m,a,,5,2024-04-12
31,m,a,500.0,4,2024-06-04
32,m,a,1500.0,2,2024-10-21
33,m,a,500.0,5,2024-07-08
34,m,a,1500.0,4,2024-10-10
35,m,a,1500.0,2,2024-10-29
36,m,a,,3,2024-08-16
37,m,a,55000.0,2,2024-04-20
38,m,a,55000.0,2,2024-06-29
39,m,a,1500.0,2,2024-10-13
40,m,a,500.0,1,2024-08-29
41,m,a,,1,2024-02-03
42,m,a,,1,2024-07-03
43,m,a,55000.0,3,2024-12-23
44,m,a,55000.0,5,2024-07-04
45,m,a,500.0,3,2024-11-04
46,m,a,1500.0,2,2024-04-01
47,m,a,55000.0,4,2024-11-19
48,m,a,500.0,4,2024-12-03
49,m,a,55000.0,4,2024-09-12
50,m,a,55000.0,2,2024-10-12
51,m,a,55000.0,1,2024-11-08
52,m,a,500.0,4,2024-03-07
53,m,a,1500.0,1,2024-07-15
54,m,a,1500.0,4,2024-04-06
55,m,a,1500.0,1,2024-11-01
56,m,a,500.0,5,2024-03-27
57,m,a,1500.0,5,2024-09-04
58,m,a,,1,2024-12-15
59,m,a,55000.0,1,2024-04-12
60,m,a,500.0,2,2024-01-08
61,m,a,,2,2024-11-21
62,m,a,1500.0,2,2024-02-03
63,m,a,55000.0,2,2024-03-08
64,m,a,1500.0,3,2024-09-22
65,m,a,,3,2024-10-04
66,m,a,1500.0,4,2024-08-25
67,m,a,,2,2024-06-17
68,m,a,500.0,4,2024-10-15
69,m,a,,4,2024-07-07
70,m,a,,1,2024-06-27
71,m,a,55000.0,5,2024-12-17
72,m,a,55000.0,5,2024-03-19
73,m,a,1500.0,4,2024-05-05
74,m,a,500.0,3,2024-08-25
75,m,a,,5,2024-06-13
76,m,a,55000.0,4,2024-11-04
77,m,a,,4,2024-09-23
78,m,a,,3,2024-08-24
79,m,a,55000.0,1,2024-01-21
80,m,a,,4,2024-12-04
81,m,a,55000.0,1,2024-11-01
82,m,a,,4,2024-09-09
83,m,a,1500.0,4,2024-02-03
84,m,a,55000.0,3,2024-03-05
85,m,a,500.0,4,2024-02-29
86,m,a,55000.0,4,2024-08-01
87,m,a,1500.0,5,2024-01-14
88,m,a,500.0,2,2024-04-29
89,m,a,1500.0,5,2024-11-21
90,m,a,500.0,4,2024-03-28
91,m,a,,3,2024-12-31
92,m,a,,1,2024-07-19
93,m,a,500.0,4,2024-06-29
94,m,a,,4,2024-09-12
95,m,a,1500.0,5,2024-02-27
96,m,a,1500.0,5,2024-11-07
97,m,a,1500.0,3,2024-10-11
98,m,a,500.0,2,2024-07-19
99,m,a,500.0,4,2024-06-21
100,m,a,55000.0,4,2024-12-16
101,m,a,55000.0,5,2024-03-30
102,m,a,,2,2024-01-10
103,m,a,,1,2024-10-26
104,m,a,500.0,1,2024-04-28
105,m,a,1500.0,1,2024-03-14
106,m,a,55000.0,5,2024-10-10
107,m,a,500.0,2,2024-07-21
108,m,a,500.0,3,2024-06-27
109,m,a,,5,2024-12-30
110,m,a,55000.0,2,2024-04-25
111,m,a,,2,2024-05-30
112,m,a,1500.0,1,2024-01-10
113,m,a,500.0,1,2024-06-14
114,m,a,,5,2024-06-02
115,m,a,500.0,1,2024-04-26
116,m,a,500.0,4,2024-11-25
117,m,a,1500.0,4,2024-06-30
118,m,a,55000.0,5,2024-04-29
119,m,a,500.0,2,2024-02-04
120,m,a,1500.0,1,2024-05-13
121,m,a,500.0,1,2024-04-07
122,m,a,,5,2024-05-14
123,m,a,,4,2024-02-26
124,m,a,55000.0,5,2024-12-23
125,m,a,1500.0,4,2024-03-15
126,m,a,55000.0,4,2024-07-26
127,m,a,500.0,3,2024-10-08
128,m,a,55000.0,5,2024-10-04
129,m,a,,3,2024-05-31
130,m,a,55000.0,1,2024-07-15
131,m,a,,1,2024-08-18
132,m,a,1500.0,3,2024-03-21
133,m,a,500.0,1,2024-12-13
134,m,a,1500.0,3,2024-06-17
135,m,a,,2,2024-04-09
136,m,a,55000.0,2,2024-08-01
137,m,a,55000.0,5,2024-05-03
138,m,a,55000.0,1,2024-02-17
139,m,a,500.0,4,2024-11-29
140,m,a,1500.0,5,2024-04-28
141,m,a,500.0,5,2024-08-24
142,m,a,1500.0,2,2024-06-30
143,m,a,500.0,1,2024-05-30
144,m,a,,3,2024-05-19
145,m,a,,2,2024-04-03
146,m,a,,5,2024-08-02
147,m,a,55000.0,3,2024-09-30
148,m,a,1500.0,3,2024-08-16
149,m,a,1500.0,4,2024-04-08
150,m,a,500.0,3,2024-03-05
151,m,a,,4,2024-09-13
152,m,a,,4,2024-06-20
153,m,a,500.0,3,2024-10-20
154,m,a,1500.0,1,2024-10-02
155,m,a,,5,2024-01-17
156,m,a,55000.0,1,2024-06-15
157,m,a,,5,2024-02-18
158,m,a,500.0,2,2024-03-31
159,m,a,,2,2024-03-08
160,m,a,1500.0,3,2024-02-10
161,m,a,,5,2024-02-04
162,m,a,1500.0,1,2024-04-16
163,m,a,1500.0,3,2024-10-21
164,m,a,500.0,3,2024-04-02
165,m,a,55000.0,2,2024-08-23
166,m,a,500.0,3,2024-03-10
167,m,a,55000.0,4,2024-06-06
168,m,a,500.0,5,2024-05-07
169,m,a,500.0,2,2024-08-14
170,m,a,55000.0,2,2024-07-04
171,m,a,1500.0,4,2024-04-29
172,m,a,1500.0,4,2024-08-08
173,m,a,55000.0,4,2024-03-16
174,m,a,55000.0,2,2024-02-21
175,m,a,55000.0,1,2024-12-22
176,m,a,500.0,3,2024-08-30
177,m,a,1500.0,2,2024-09-19
178,m,a,,5,2024-05-16
179,m,a,55000.0,4,2024-07-10
180,m,a,1500.0,5,2024-07-15
181,m,a,55000.0,4,2024-05-25
182,m,a,,3,2024-05-25
183,m,a,55000.0,5,2024-02-05
184,m,a,1500.0,4,2024-04-29
185,m,a,55000.0,3,2024-10-29
186,m,a,500.0,2,2024-08-15
187,m,a,500.0,1,2024-06-22
188,m,a,55000.0,1,2024-11-02
189,m,a,55000.0,4,2024-04-06
190,m,a,,4,2024-06-30
191,m,a,500.0,1,2024-04-08
192,m,a,55000.0,4,2024-11-20
193,m,a,1500.0,4,2024-06-21
194,m,a,,4,2024-04-05
195,m,a,500.0,5,2024-04-18
196,m,a,55000.0,3,2024-10-21
197,m,a,500.0,1,2024-06-04
198,m,a,1500.0,4,2024-12-23
199,m,a,,1,2024-12-06
200,m,a,,3,2024-12-22
201,m,a,500.0,5,2024-07-14
202,m,a,55000.0,1,2024-02-13
203,m,a,500.0,2,2024-03-24
204,m,a,55000.0,1,2024-04-25
205,m,a,1500.0,5,2024-10-23
206,m,a,1500.0,4,2024-04-05
207,m,a,,4,2024-10-18
208,m,a,55000.0,5,2024-04-04
209,m,a,,5,2024-12-19
210,m,a,500.0,2,2024-06-20
211,m,a,,1,2024-10-30
212,m,a,55000.0,3,2024-05-20
213,m,a,,5,2024-04-27
214,m,a,55000.0,2,2024-12-18
215,m,a,1500.0,5,2024-08-01
216,m,a,,2,2024-11-02
217,m,a,55000.0,1,2024-11-05
218,m,a,1500.0,4,2024-07-24
219,m,a,,5,2024-05-20
220,m,a,,2,2024-08-27
221,m,a,1500.0,1,2024-07-02
222,m,a,,2,2024-11-11
223,m,a,55000.0,5,2024-10-09
224,m,a,,2,2024-02-26
225,m,a,500.0,3,2024-12-15
226,m,a,500.0,1,2024-05-25
227,m,a,1500.0,1,2024-11-13
228,m,a,1500.0,2,2024-07-26
229,m,a,1500.0,2,2024-05-27
230,m,a,55000.0,3,2024-03-16
231,m,a,1500.0,5,2024-10-04
232,m,a,500.0,3,2024-12-04
233,m,a,1500.0,4,2024-02-09
234,m,a,500.0,4,2024-04-01
235,m,a,500.0,4,2024-04-17
236,m,a,,5,2024-10-07
237,m,a,,2,2024-01-26
238,m,a,,1,2024-03-15
239,m,a,55000.0,2,2024-12-01
240,m,a,1500.0,2,2024-09-29
241,m,a,,1,2024-07-22
242,m,a,55000.0,3,2024-02-15
243,m,a,,5,2024-10-24
244,m,a,,5,2024-04-22
245,m,a,,2,2024-04-30
246,m,a,1500.0,4,2024-07-31
247,m,a,1500.0,3,2024-11-28
248,m,a,500.0,2,2024-06-23
249,m,a,1500.0,3,2024-10-09
250,m,a,1500.0,4,2024-08-10
251,m,a,55000.0,5,2024-08-01
252,m,a,55000.0,4,2024-02-28
253,m,a,500.0,1,2024-12-14
254,m,a,500.0,5,2024-09-12
255,m,a,500.0,3,2024-11-09
256,m,a,55000.0,5,2024-10-09
257,m,a,55000.0,1,2024-10-02
258,m,a,,5,2024-04-22
259,m,a,1500.0,3,2024-05-08
260,m,a,1500.0,5,2024-08-04
261,m,a,500.0,4,2024-10-09
262,m,a,1500.0,3,2024-08-31
263,m,a,55000.0,2,2024-07-06
264,m,a,500.0,2,2024-11-09
